X,Y,date_ech,valeur,source,qualif,couleur,lib_zone,x_wgs84,y_wgs84,the_geom,code_zone,type_zone,val_so2,val_no2,val_o3,val_pm10,val_pm25,id,ObjectId
2.76812,50.2893,2019-01-04T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Arras,2.76812,50.2893,01010000206A080000000000007DDB2441000000E0BAC85A41,62041,commune,0,2,3,3,0,31107,49
2.48414,49.2557,2019-01-04T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Creil,2.48414,49.2557,01010000206A080000000000004F372441000000007B585A41,60175,commune,0,2,2,4,0,32823,50
3.51387,50.3619,2019-01-04T00:00:00.000Z,5,Atmo HDF,Moyen,#FFFF00,Valenciennes,3.51387,50.3619,01010000206A08000000000000CC7A2641000000A0B8D05A41,59606,commune,0,2,2,5,0,35837,51
1.60995,50.73,2019-01-04T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Boulogne-sur-Mer,1.60995,50.73,01010000206A08000000000000A55C22410000004081F95A41,62160,commune,0,1,3,2,0,31538,52
3.27898,49.8475,2019-01-05T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Saint-Quentin,3.27898,49.8475,01010000206A08000000000000A0F92541000000A0B4985A41,02691,commune,0,1,2,4,0,35407,53
3.51387,50.3619,2019-01-05T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Valenciennes,3.51387,50.3619,01010000206A08000000000000CC7A2641000000A0B8D05A41,59606,commune,0,1,2,4,0,35838,54
2.48414,49.2557,2019-01-05T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Creil,2.48414,49.2557,01010000206A080000000000004F372441000000007B585A41,60175,commune,0,1,2,4,0,32824,55
1.60995,50.73,2019-01-05T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Boulogne-sur-Mer,1.60995,50.73,01010000206A08000000000000A55C22410000004081F95A41,62160,commune,0,1,3,3,0,31539,56
2.64383,50.5299,2019-01-05T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Béthune,2.64383,50.5299,01010000206A080000000000002597244100000000F0E25A41,62119,commune,0,1,2,4,0,31962,57
3.96129,50.2834,2019-01-05T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Maubeuge,3.96129,50.2834,01010000206A08000000000000AE742741000000807AC85A41,59392,commune,0,1,2,4,0,34548,58
2.26493,50.7674,2019-01-05T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Saint-Omer,2.26493,50.7674,01010000206A08000000000000DCC6234100000020F6FC5A41,62765,commune,0,1,2,4,0,34979,59
3.0468,50.6309,2019-01-05T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Lille,3.0468,50.6309,01010000206A08000000000000AA76254100000040DFED5A41,59350,commune,0,1,2,4,0,34117,60
2.76812,50.2893,2019-01-05T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Arras,2.76812,50.2893,01010000206A080000000000007DDB2441000000E0BAC85A41,62041,commune,0,1,2,4,0,31108,61
2.28449,49.8988,2019-01-05T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Amiens,2.28449,49.8988,01010000206A08000000000000CFCA2341000000A0799E5A41,80021,commune,0,1,2,4,0,30677,62
2.37084,51.0292,2019-01-05T00:00:00.000Z,5,Atmo HDF,Moyen,#FFFF00,Dunkerque,2.37084,51.0292,01010000206A08000000000000280324410000002065195B41,59183,commune,1,2,2,5,0,33686,63
1.86846,50.952,2019-01-05T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Calais,1.86846,50.952,01010000206A0800000000000041EE22410000004060115B41,62193,commune,0,1,3,4,0,32393,64
3.07828,50.38,2019-01-05T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Douai-Lens,3.07828,50.38,01010000206A080000000000604F882541000000E093D25A41,59178,commune,0,1,2,4,0,33255,65
3.96129,50.2834,2019-01-06T00:00:00.000Z,5,Atmo HDF,Moyen,#FFFF00,Maubeuge,3.96129,50.2834,01010000206A08000000000000AE742741000000807AC85A41,59392,commune,0,2,2,5,0,34549,66
3.0468,50.6309,2019-01-06T00:00:00.000Z,5,Atmo HDF,Moyen,#FFFF00,Lille,3.0468,50.6309,01010000206A08000000000000AA76254100000040DFED5A41,59350,commune,0,2,2,5,0,34118,67
3.51387,50.3619,2019-01-06T00:00:00.000Z,6,Atmo HDF,Médiocre,#FFAA00,Valenciennes,3.51387,50.3619,01010000206A08000000000000CC7A2641000000A0B8D05A41,59606,commune,0,2,2,6,0,35839,68
2.64383,50.5299,2019-01-06T00:00:00.000Z,5,Atmo HDF,Moyen,#FFFF00,Béthune,2.64383,50.5299,01010000206A080000000000002597244100000000F0E25A41,62119,commune,0,1,2,5,0,31963,69
3.07828,50.38,2019-01-06T00:00:00.000Z,5,Atmo HDF,Moyen,#FFFF00,Douai-Lens,3.07828,50.38,01010000206A080000000000604F882541000000E093D25A41,59178,commune,0,2,2,5,0,33256,70
2.48414,49.2557,2019-01-06T00:00:00.000Z,5,Atmo HDF,Moyen,#FFFF00,Creil,2.48414,49.2557,01010000206A080000000000004F372441000000007B585A41,60175,commune,0,2,2,5,0,32825,71
2.37084,51.0292,2019-01-06T00:00:00.000Z,5,Atmo HDF,Moyen,#FFFF00,Dunkerque,2.37084,51.0292,01010000206A08000000000000280324410000002065195B41,59183,commune,1,1,3,5,0,33687,72
2.76812,50.2893,2019-01-06T00:00:00.000Z,5,Atmo HDF,Moyen,#FFFF00,Arras,2.76812,50.2893,01010000206A080000000000007DDB2441000000E0BAC85A41,62041,commune,0,2,2,5,0,31109,73
1.86846,50.952,2019-01-06T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Calais,1.86846,50.952,01010000206A0800000000000041EE22410000004060115B41,62193,commune,0,2,3,4,0,32394,74
2.26493,50.7674,2019-01-06T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Saint-Omer,2.26493,50.7674,01010000206A08000000000000DCC6234100000020F6FC5A41,62765,commune,0,1,2,4,0,34980,75
1.60995,50.73,2019-01-06T00:00:00.000Z,3,Atmo HDF,Bon,#99E600,Boulogne-sur-Mer,1.60995,50.73,01010000206A08000000000000A55C22410000004081F95A41,62160,commune,0,1,3,3,0,31540,76
3.27898,49.8475,2019-01-06T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Saint-Quentin,3.27898,49.8475,01010000206A08000000000000A0F92541000000A0B4985A41,02691,commune,0,2,2,4,0,35408,77
2.28449,49.8988,2019-01-06T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Amiens,2.28449,49.8988,01010000206A08000000000000CFCA2341000000A0799E5A41,80021,commune,0,1,2,4,0,30678,78
2.37084,51.0292,2019-01-07T00:00:00.000Z,4,Atmo HDF,Bon,#99E600,Dunkerque,2.37084,51.0292,01010000206A08000000000000280324410000002065195B41,59183,commune,1,2,3,4,0,33688,79
