X,Y,date_ech,valeur,qualif,source,type_zone,code_zone,lib_zone,val_no2,val_so2,val_o3,val_pm10,couleur,xwgs84,ywgs84,x_reg,y_reg,ESRI_OID
-61.035270057347709,14.63336713046618,2019-12-31T16:00:00.000Z,5,Moyen,Madininair,UU,9B601,Fort-de-France,1,0,2,5,#ffff00,,,711615.160990152,1618692.29507862,88
-61.035270057347709,14.63336713046618,2019-12-30T16:00:00.000Z,4,Bon,Madininair,UU,9B601,Fort-de-France,1,0,1,4,#99ff33,,,711615.160990152,1618692.29507862,89
-61.035270057347709,14.63336713046618,2019-12-29T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,90
-61.035270057347709,14.63336713046618,2019-12-28T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,91
-61.035270057347709,14.63336713046618,2019-12-27T16:00:00.000Z,4,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,4,#99ff33,,,711615.160990152,1618692.29507862,92
-61.035270057347709,14.63336713046618,2019-12-26T16:00:00.000Z,4,Bon,Madininair,UU,9B601,Fort-de-France,2,0,2,4,#99ff33,,,711615.160990152,1618692.29507862,93
-61.035270057347709,14.63336713046618,2019-12-25T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,94
-61.035270057347709,14.63336713046618,2019-12-24T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,95
-61.035270057347709,14.63336713046618,2019-12-23T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,96
-61.035270057347709,14.63336713046618,2019-12-22T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,97
-61.035270057347709,14.63336713046618,2019-12-21T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,98
-61.035270057347709,14.63336713046618,2019-12-20T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,99
-61.035270057347709,14.63336713046618,2019-12-19T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,100
-61.035270057347709,14.63336713046618,2019-12-18T16:00:00.000Z,4,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,4,#99ff33,,,711615.160990152,1618692.29507862,101
-61.035270057347709,14.63336713046618,2019-12-17T16:00:00.000Z,4,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,4,#99ff33,,,711615.160990152,1618692.29507862,102
-61.035270057347709,14.63336713046618,2019-12-16T16:00:00.000Z,5,Moyen,Madininair,UU,9B601,Fort-de-France,1,0,2,5,#ffff00,,,711615.160990152,1618692.29507862,103
-61.035270057347709,14.63336713046618,2019-12-15T16:00:00.000Z,5,Moyen,Madininair,UU,9B601,Fort-de-France,1,0,2,5,#ffff00,,,711615.160990152,1618692.29507862,104
-61.035270057347709,14.63336713046618,2019-12-14T16:00:00.000Z,4,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,4,#99ff33,,,711615.160990152,1618692.29507862,105
-61.035270057347709,14.63336713046618,2019-12-13T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,106
-61.035270057347709,14.63336713046618,2019-12-12T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,107
-61.035270057347709,14.63336713046618,2019-12-11T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,108
-61.035270057347709,14.63336713046618,2019-12-10T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,109
-61.035270057347709,14.63336713046618,2019-12-09T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,110
-61.035270057347709,14.63336713046618,2019-12-08T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,111
-61.035270057347709,14.63336713046618,2019-12-07T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,112
-61.035270057347709,14.63336713046618,2019-12-06T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,113
-61.035270057347709,14.63336713046618,2019-12-05T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,114
-61.035270057347709,14.63336713046618,2019-12-04T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,1,3,#33cc33,,,711615.160990152,1618692.29507862,115
-61.035270057347709,14.63336713046618,2019-12-03T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,1,3,#33cc33,,,711615.160990152,1618692.29507862,116
-61.035270057347709,14.63336713046618,2019-12-02T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,1,3,#33cc33,,,711615.160990152,1618692.29507862,117
-61.035270057347709,14.63336713046618,2019-12-01T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,118
-61.035270057347709,14.63336713046618,2019-11-30T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,3,3,#33cc33,,,711615.160990152,1618692.29507862,119
-61.035270057347709,14.63336713046618,2019-11-29T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,120
-61.035270057347709,14.63336713046618,2019-11-28T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,121
-61.035270057347709,14.63336713046618,2019-11-27T16:00:00.000Z,4,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,4,#99ff33,,,711615.160990152,1618692.29507862,122
-61.035270057347709,14.63336713046618,2019-11-26T16:00:00.000Z,4,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,4,#99ff33,,,711615.160990152,1618692.29507862,123
-61.035270057347709,14.63336713046618,2019-11-25T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,1,2,#40bf40,,,711615.160990152,1618692.29507862,124
-61.035270057347709,14.63336713046618,2019-11-24T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,125
-61.035270057347709,14.63336713046618,2019-11-23T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,126
-61.035270057347709,14.63336713046618,2019-11-22T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,127
-61.035270057347709,14.63336713046618,2019-11-21T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,1,3,#33cc33,,,711615.160990152,1618692.29507862,128
-61.035270057347709,14.63336713046618,2019-11-20T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,129
-61.035270057347709,14.63336713046618,2019-11-19T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,1,2,#40bf40,,,711615.160990152,1618692.29507862,130
-61.035270057347709,14.63336713046618,2019-11-18T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,131
-61.035270057347709,14.63336713046618,2019-11-17T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,132
-61.035270057347709,14.63336713046618,2019-11-16T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,133
-61.035270057347709,14.63336713046618,2019-11-15T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,134
-61.035270057347709,14.63336713046618,2019-11-14T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,135
-61.035270057347709,14.63336713046618,2019-11-13T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,1,2,#40bf40,,,711615.160990152,1618692.29507862,136
-61.035270057347709,14.63336713046618,2019-11-12T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,137
-61.035270057347709,14.63336713046618,2019-11-11T16:00:00.000Z,4,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,4,#99ff33,,,711615.160990152,1618692.29507862,138
